id,value
453885,885
261173,173
393415,415
186616,616
179511,511
292274,274
212780,780
4784,784
387908,908
481902,902
396548,548
281872,872
410801,801
352576,576
226154,154
113338,338
18132,132
326071,71
494494,494
68888,888
450114,114
118281,281
252155,155
260837,837
181416,416
221172,172
180084,84
356123,123
167704,704
459848,848
470776,776
194007,7
139659,659
41206,206
442571,571
4158,158
46388,388
270617,617
282262,262
314294,294
370010,10
111740,740
390733,733
365864,864
231009,9
227136,136
128793,793
301087,87
257655,655
122910,910
361393,393
315586,586
145846,846
37578,578
177055,55
168870,870
307579,579
298561,561
362043,43
419049,49
335457,457
486675,675
433755,755
58040,40
360266,266
209161,161
453036,36
280407,407
437898,898
302746,746
231832,832
229466,466
281216,216
112848,848
387588,588
141568,568
19173,173
135490,490
431813,813
205431,431
473892,892
274279,279
71061,61
20509,509
14982,982
76327,327
470994,994
19746,746
429096,96
27879,879
397776,776
395037,37
449710,710
80703,703
50217,217
72761,761
256465,465
15597,597
363612,612
118321,321
269971,971
361876,876
190209,209
396699,699
303070,70
82023,23
183186,186
274327,327
98886,886
330530,530
91103,103
451805,805
420355,355
192757,757
474743,743
227812,812
208171,171
278612,612
79349,349
38146,146
154540,540
398838,838
78079,79
311035,35
47664,664
165002,2
204065,65
328142,142
472690,690
57329,329
203254,254
445483,483
380948,948
470434,434
146426,426
2898,898
283190,190
151212,212
211138,138
56118,118
273450,450
365280,280
50250,250
150229,229
396802,802
137654,654
477354,354
106770,770
263950,950
486970,970
420076,76
93592,592
334922,922
169488,488
471316,316
458837,837
385324,324
151145,145
108577,577
74428,428
96804,804
219269,269
39120,120
471324,324
145293,293
472133,133
456844,844
185567,567
192768,768
362361,361
254108,108
13851,851
368772,772
172318,318
15657,657
185388,388
287408,408
483258,258
324354,354
28643,643
339807,807
33083,83
372203,203
53171,171
475298,298
440945,945
21274,274
466097,97
5497,497
303700,700
397295,295
451864,864
473226,226
169044,44
126482,482
160581,581
289792,792
230735,735
80165,165
195251,251
249766,766
440845,845
461983,983
30706,706
24833,833
208094,94
225149,149
300402,402
432767,767
203313,313
445098,98
63560,560
92075,75
240044,44
395088,88
332729,729
291968,968
208638,638
482285,285
190928,928
288967,967
4447,447
99695,695
168337,337
98809,809
431873,873
119766,766
376849,849
272007,7
231697,697
204956,956
142458,458
241684,684
153764,764
309638,638
189886,886
28836,836
217061,61
401277,277
206691,691
42330,330
237167,167
162294,294
58417,417
203777,777
39733,733
274046,46
22337,337
357240,240
447024,24
313774,774
18961,961
412207,207
54036,36
383217,217
165403,403
121310,310
428082,82
171375,375
382575,575
316420,420
178921,921
423812,812
305373,373
110907,907
413849,849
317117,117
363633,633
292882,882
223199,199
65944,944
273027,27
88473,473
242191,191
498864,864
